Model,Displ,Cyl,Trans,Drive,Fuel,Cert Region,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2
CADILLAC Lyriq,N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,PGMXT00.0008,small SUV,10,96,81,89,10,Elite,0
CADILLAC Lyriq,N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,PGMXT00.0008,small SUV,10,96,81,89,10,Elite,0
CADILLAC XT4,2,4,SemiAuto-9,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,PGMXT02.0500,small SUV,7,23,30,26,5,No,341
CADILLAC XT4,2,4,SemiAuto-9,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,PGMXT02.0500,small SUV,7,23,30,26,5,No,341
CADILLAC XT4,2,4,SemiAuto-9,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,PGMXT02.0500,small SUV,7,22,29,24,5,No,370
CADILLAC XT4,2,4,SemiAuto-9,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,PGMXT02.0500,small SUV,7,22,29,24,5,No,370
CADILLAC XT5,2,4,SemiAuto-9,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,PGMXT02.0500,small SUV,7,22,29,24,5,No,370
CADILLAC XT5,2,4,SemiAuto-9,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,PGMXT02.0500,small SUV,7,22,29,24,5,No,370
CADILLAC XT5,2,4,SemiAuto-9,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,PGMXT02.0500,small SUV,7,21,27,23,5,No,386
CADILLAC XT5,2,4,SemiAuto-9,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,PGMXT02.0500,small SUV,7,21,27,23,5,No,386
CADILLAC XT5,3.6,6,SemiAuto-9,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,PGMXT03.6151,small SUV,6,19,26,21,4,No,419
CADILLAC XT5,3.6,6,SemiAuto-9,2WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,PGMXT03.6151,small SUV,6,19,26,21,4,No,419
CADILLAC XT5,3.6,6,SemiAuto-9,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,PGMXT03.6151,small SUV,6,18,25,21,4,No,426
CADILLAC XT5,3.6,6,SemiAuto-9,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,PGMXT03.6151,small SUV,6,18,25,21,4,No,426
CADILLAC XT5 Limo,2,4,SemiAuto-9,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,PGMXT02.0550,special purpose,6,20,23,21,4,No,425
CADILLAC XT5 Limo,2,4,SemiAuto-9,2WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,PGMXT02.0550,special purpose,6,20,23,21,4,No,425
CADILLAC XT5 Limo,2,4,SemiAuto-9,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,PGMXT02.0550,special purpose,6,20,23,21,4,No,425
CADILLAC XT5 Limo,2,4,SemiAuto-9,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,PGMXT02.0550,special purpose,6,20,23,21,4,No,425
CADILLAC XT6,2,4,SemiAuto-9,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,PGMXT02.0500,small SUV,7,21,27,23,5,No,386
CADILLAC XT6,2,4,SemiAuto-9,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,PGMXT02.0500,small SUV,7,21,27,23,5,No,386
CADILLAC XT6,2,4,SemiAuto-9,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,PGMXT02.0500,small SUV,7,21,26,23,5,No,386
CADILLAC XT6,2,4,SemiAuto-9,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,PGMXT02.0500,small SUV,7,21,26,23,5,No,386
CADILLAC XT6,3.6,6,SemiAuto-9,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,PGMXT03.6151,small SUV,6,19,26,21,4,No,419
CADILLAC XT6,3.6,6,SemiAuto-9,2WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,PGMXT03.6151,small SUV,6,19,26,21,4,No,419
CADILLAC XT6,3.6,6,SemiAuto-9,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,PGMXT03.6151,small SUV,6,18,25,21,4,No,433
CADILLAC XT6,3.6,6,SemiAuto-9,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,PGMXT03.6151,small SUV,6,18,25,21,4,No,433
CANOO Lifestyle Delivery Vehicle,N/A,N/A,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,PCANJ.000261,van,10,93,77,85,10,Elite,1
CHEVROLET Blazer,2,4,Auto-9,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,PGMXT02.0500,small SUV,7,22,29,25,5,No,365
CHEVROLET Blazer,2,4,Auto-9,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,PGMXT02.0500,small SUV,7,22,29,25,5,No,365
CHEVROLET Blazer,2,4,Auto-9,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,PGMXT02.0500,small SUV,7,22,27,24,5,No,368
CHEVROLET Blazer,2,4,Auto-9,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,PGMXT02.0500,small SUV,7,22,27,24,5,No,368
CHEVROLET Blazer,3.6,6,Auto-9,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,PGMXT03.6151,small SUV,6,19,27,22,5,No,404
CHEVROLET Blazer,3.6,6,Auto-9,2WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,PGMXT03.6151,small SUV,6,19,27,22,5,No,404
CHEVROLET Blazer,3.6,6,Auto-9,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,PGMXT03.6151,small SUV,6,19,26,21,4,No,417
CHEVROLET Blazer,3.6,6,Auto-9,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,PGMXT03.6151,small SUV,6,19,26,21,4,No,417
CHEVROLET Bolt EUV,N/A,N/A,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,PGMXV00.0002,station wagon,10,125,104,115,10,Elite,0
CHEVROLET Bolt EUV,N/A,N/A,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,PGMXV00.0002,station wagon,10,125,104,115,10,Elite,0
CHEVROLET Bolt EV,N/A,N/A,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,PGMXV00.0002,station wagon,10,131,109,120,10,Elite,0
CHEVROLET Bolt EV,N/A,N/A,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,PGMXV00.0002,station wagon,10,131,109,120,10,Elite,0
CHEVROLET Camaro,2,4,Man-6,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,PGMXV02.0031,small car,5,19,28,22,5,No,401
CHEVROLET Camaro,2,4,Man-6,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,PGMXV02.0031,small car,5,19,28,22,5,No,401
CHEVROLET Camaro,2,4,SemiAuto-8,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,PGMXV02.0031,small car,5,22,30,25,5,No,360
CHEVROLET Camaro,2,4,SemiAuto-8,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,PGMXV02.0031,small car,5,22,30,25,5,No,360
CHEVROLET Camaro,3.6,6,Man-6,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,PGMXV03.6165,small car,6,16,26,20,4,No,453
CHEVROLET Camaro,3.6,6,Man-6,2WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,PGMXV03.6165,small car,6,16,26,20,4,No,453
CHEVROLET Camaro,3.6,6,SemiAuto-10,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,PGMXV03.6165,small car,6,18,29,22,5,No,407
CHEVROLET Camaro,3.6,6,SemiAuto-10,2WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,PGMXV03.6165,small car,6,18,29,22,5,No,407
CHEVROLET Camaro,6.2,8,Man-6,2WD,Gasoline,CA,L3LEV160,California LEV-III LEV160,PGMXV06.2089,small car,1,14,20,16,3,No,559
CHEVROLET Camaro,6.2,8,Man-6,2WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,PGMXV06.2089,small car,1,14,20,16,3,No,559
CHEVROLET Camaro,6.2,8,Man-6,2WD,Gasoline,CA,L3LEV160,California LEV-III LEV160,PGMXV06.2090,small car,1,16,24,19,4,No,477
CHEVROLET Camaro,6.2,8,Man-6,2WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,PGMXV06.2090,small car,1,16,24,19,4,No,477
CHEVROLET Camaro,6.2,8,SemiAuto-10,2WD,Gasoline,CA,L3LEV160,California LEV-III LEV160,PGMXV06.2089,small car,1,13,21,16,3,No,571
CHEVROLET Camaro,6.2,8,SemiAuto-10,2WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,PGMXV06.2089,small car,1,13,21,16,3,No,571
CHEVROLET Camaro,6.2,8,SemiAuto-10,2WD,Gasoline,CA,L3LEV160,California LEV-III LEV160,PGMXV06.2090,small car,1,16,26,20,4,No,453
CHEVROLET Camaro,6.2,8,SemiAuto-10,2WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,PGMXV06.2090,small car,1,16,26,20,4,No,453
CHEVROLET Colorado,2.7,4,Auto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,PGMXT02.7100,pickup,7,18,23,20,4,No,446
CHEVROLET Colorado,2.7,4,Auto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,PGMXT02.7100,pickup,7,20,25,22,5,No,406
CHEVROLET Colorado,2.7,4,Auto-8,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,PGMXT02.7100,pickup,7,18,23,20,4,No,446
CHEVROLET Colorado,2.7,4,Auto-8,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,PGMXT02.7100,pickup,7,20,25,22,5,No,406
CHEVROLET Colorado,2.7,4,Auto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,PGMXT02.7100,pickup,7,17,19,18,4,No,494
CHEVROLET Colorado,2.7,4,Auto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,PGMXT02.7100,pickup,7,17,21,19,4,No,467
CHEVROLET Colorado,2.7,4,Auto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,PGMXT02.7100,pickup,7,19,23,21,4,No,427
CHEVROLET Colorado,2.7,4,Auto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,PGMXT02.7100,pickup,7,17,19,18,4,No,494
CHEVROLET Colorado,2.7,4,Auto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,PGMXT02.7100,pickup,7,17,21,19,4,No,467
CHEVROLET Colorado,2.7,4,Auto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,PGMXT02.7100,pickup,7,19,23,21,4,No,427
CHEVROLET Colorado ZR2,2.7,4,Auto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,PGMXT02.7100,pickup,7,16,16,16,3,No,539
CHEVROLET Colorado ZR2,2.7,4,Auto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,PGMXT02.7100,pickup,7,16,16,16,3,No,539
CHEVROLET Corvette,6.2,8,SemiAuto-8,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,PGMXV06.2088,small car,5,16,24,19,4,No,480
CHEVROLET Corvette,6.2,8,SemiAuto-8,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,PGMXV06.2088,small car,5,16,24,19,4,No,480
CHEVROLET Corvette Z06,5.5,8,SemiAuto-8,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,PGMXV06.2094,small car,3,12,21,15,2,No,597
CHEVROLET Corvette Z06,5.5,8,SemiAuto-8,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,PGMXV06.2094,small car,3,12,21,15,2,No,597
CHEVROLET Corvette Z06 Carbon Aero,5.5,8,SemiAuto-8,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,PGMXV06.2094,small car,3,12,19,14,2,No,631
CHEVROLET Corvette Z06 Carbon Aero,5.5,8,SemiAuto-8,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,PGMXV06.2094,small car,3,12,19,14,2,No,631
CHEVROLET Equinox,1.5,4,Auto-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,PGMXT01.5090,small SUV,7,26,31,28,6,No,317
CHEVROLET Equinox,1.5,4,Auto-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,PGMXT01.5090,small SUV,7,26,31,28,6,No,317
CHEVROLET Equinox,1.5,4,Auto-6,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,PGMXT01.5090,small SUV,7,24,30,26,5,No,340
CHEVROLET Equinox,1.5,4,Auto-6,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,PGMXT01.5090,small SUV,7,24,30,26,5,No,340
CHEVROLET Malibu,1.5,4,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,PGMXV01.5010,midsize car,7,27,35,30,6,No,292
CHEVROLET Malibu,1.5,4,CVT,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,PGMXV01.5010,midsize car,7,27,35,30,6,No,292
CHEVROLET Silverado,2.7,4,Auto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,PGMXT02.7100,pickup,7,19,21,20,4,No,453
CHEVROLET Silverado,2.7,4,Auto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,PGMXT02.7100,pickup,7,19,22,20,4,No,446
CHEVROLET Silverado,2.7,4,Auto-8,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,PGMXT02.7100,pickup,7,19,21,20,4,No,453
