Model,Displ,Cyl,Trans,Drive,Fuel,Cert Region,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2
ALFA ROMEO Giulia AWD,2,4,Auto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,NCRXJ02.05P2,midsize car,5,23,31,26,5,No,348
ALFA ROMEO Giulia AWD,2,4,Auto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,NCRXJ02.05P3,midsize car,3,23,31,26,5,No,348
ALFA ROMEO Giulia AWD,2,4,Auto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,NCRXJ02.05P3,midsize car,3,23,31,26,5,No,348
ALFA ROMEO Stelvio,2,4,Auto-8,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,NCRXJ02.05P2,small SUV,5,22,29,25,5,No,359
ALFA ROMEO Stelvio,2,4,Auto-8,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,NCRXJ02.05P2,small SUV,5,22,29,25,5,No,359
ALFA ROMEO Stelvio,2,4,Auto-8,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,NCRXJ02.05P3,small SUV,3,22,29,25,5,No,359
ALFA ROMEO Stelvio,2,4,Auto-8,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,NCRXJ02.05P3,small SUV,3,22,29,25,5,No,359
ALFA ROMEO Stelvio AWD,2,4,Auto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,NCRXJ02.05P2,small SUV,5,22,28,24,5,No,364
ALFA ROMEO Stelvio AWD,2,4,Auto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,NCRXJ02.05P2,small SUV,5,22,28,24,5,No,364
ALFA ROMEO Stelvio AWD,2,4,Auto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,NCRXJ02.05P3,small SUV,3,22,28,24,5,No,364
ALFA ROMEO Stelvio AWD,2,4,Auto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,NCRXJ02.05P3,small SUV,3,22,28,24,5,No,364
AUDI A3,2,4,AMS-7,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NVGAV02.0A3B,small car,7,29,38,32,7,Yes,273
AUDI A3,2,4,AMS-7,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NVGAV02.0A3B,small car,7,29,38,32,7,Yes,273
AUDI A3,2,4,AMS-7,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,NVGAV02.0A3B,small car,7,28,36,31,7,Yes,286
AUDI A3,2,4,AMS-7,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,NVGAV02.0A3B,small car,7,28,36,31,7,Yes,286
AUDI A4,2,4,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,NVGAJ02.0A7E,small car,5,26,34,29,6,No,307
AUDI A4,2,4,AMS-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,NVGAJ02.0A7E,small car,5,26,34,29,6,No,307
AUDI A4 S line quattro,2,4,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,NVGAJ02.0A7G,small car,5,24,31,27,6,No,332
AUDI A4 S line quattro,2,4,AMS-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,NVGAJ02.0A7G,small car,5,24,31,27,6,No,332
AUDI A4 allroad quattro,2,4,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,NVGAJ02.0A7G,station wagon,5,24,30,26,5,No,335
AUDI A4 allroad quattro,2,4,AMS-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,NVGAJ02.0A7G,station wagon,5,24,30,26,5,No,335
AUDI A5,2,4,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,NVGAJ02.0A7G,small car,5,24,31,27,6,No,332
AUDI A5,2,4,AMS-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,NVGAJ02.0A7G,small car,5,24,31,27,6,No,332
AUDI A5 Cabriolet,2,4,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,NVGAJ02.0A7G,small car,5,23,31,26,5,No,345
AUDI A5 Cabriolet,2,4,AMS-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,NVGAJ02.0A7G,small car,5,23,31,26,5,No,345
AUDI A5 Sportback S line quattro,2,4,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,NVGAJ02.0A7G,midsize car,5,24,31,27,6,No,332
AUDI A5 Sportback S line quattro,2,4,AMS-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,NVGAJ02.0A7G,midsize car,5,24,31,27,6,No,332
AUDI A5 Sportback quattro,2,4,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,NVGAJ02.0A7E,midsize car,5,26,34,29,6,No,307
